tipo,indice,valor
CPU,1,0.616675
CPU,3,0.61665
CPU,5,0.616675
CPU,7,0.633325
CPU,9,0.63335
CPU,11,0.633325
CPU,13,0.633325
CPU,15,0.63335
CPU,17,0.633325
CPU,19,0.633325
CPU,21,0.63335
CPU,23,0.633325
CPU,25,0.616675
CPU,27,0.63335
CPU,29,0.633325
CPU,31,0.633325
CPU,33,0.65
CPU,35,0.63335
CPU,37,0.616675
CPU,39,0.65
CPU,41,0.633325
CPU,43,0.633325
CPU,45,0.633325
CPU,47,0.65
CPU,49,0.63335
IO,0,5133.83
IO,2,5133.42
IO,4,5132.82
IO,6,5132.23
IO,8,5131.63
IO,10,5131.03
IO,12,5130.4
IO,14,5129.78
IO,16,5129.17
IO,18,5128.55
IO,20,5127.93
IO,22,5127.3
IO,24,5126.67
IO,26,5126.08
IO,28,5125.45
IO,30,5124.83
IO,32,5124.18
IO,34,5123.57
IO,36,5122.93
IO,38,5122.3
IO,40,5121.67
IO,42,5121.02
IO,44,5120.4
IO,46,5119.75
IO,48,5119.1
