tipo,indice,valor
CPU,3,9.68332
CPU,7,9.65
CPU,9,9.63332
CPU,11,9.61668
CPU,13,9.58333
CPU,15,9.56665
CPU,17,9.55
CPU,37,9.4
CPU,1,9.71668
CPU,19,9.51667
CPU,21,9.5
CPU,23,9.48335
CPU,5,14.1167
CPU,25,11.95
CPU,27,11.75
CPU,29,11.5334
CPU,31,11.3167
CPU,33,11.1167
CPU,35,10.9167
CPU,39,10.4833
CPU,41,10.45
CPU,45,6.35
CPU,47,6.3
CPU,43,11.05
CPU,49,10.5833
CPU,51,10.3833
CPU,63,9.08333
CPU,65,9.06668
CPU,75,8.86668
CPU,77,8.81668
CPU,79,8.76667
CPU,81,8.71668
CPU,83,8.66667
CPU,53,9.31668
CPU,55,13.6334
CPU,57,13.4167
CPU,59,13.1833
CPU,61,12.9333
CPU,67,12.2166
CPU,69,11.9833
CPU,71,11.7667
CPU,73,11.5333
CPU,85,10.25
CPU,91,6.5
CPU,93,6.45
CPU,87,11.1333
CPU,89,10.9
CPU,97,5.95
CPU,95,10.3667
CPU,99,10.3
IO,58,9685.97
IO,96,9697.67
IO,0,9730.45
IO,2,9730.92
IO,82,9716.52
IO,10,9735.32
IO,36,9747.53
IO,30,9748.73
IO,94,9735.58
IO,20,9758.18
IO,86,9737.37
IO,34,9757.43
IO,12,9760.57
IO,46,9755.72
IO,68,9748.85
IO,56,9753.95
IO,74,9752.22
IO,64,9756.85
IO,52,9758.82
IO,6,9773.75
IO,42,9766.22
IO,76,9756.68
IO,24,9774.43
IO,54,9761.75
IO,80,9758.72
IO,98,9748.88
IO,66,9760.88
IO,22,9776.07
IO,78,9759.88
IO,32,9775.52
IO,4,9779.03
IO,14,9777.95
IO,84,9760.52
IO,8,9779.25
IO,16,9779.13
IO,72,9763.23
IO,92,9757.32
IO,48,9772.33
IO,26,9778.92
IO,40,9777.98
IO,44,9773.77
IO,90,9758.83
IO,60,9766.32
IO,62,9766.43
IO,38,9779.42
IO,50,9769.32
IO,28,9780.82
IO,18,9781.95
IO,88,9761.17
IO,70,9767.18
