tipo,indice,valor
CPU,61,1.23333
CPU,49,1.23333
CPU,83,8.58333
CPU,7,1.23333
CPU,19,2.45
CPU,73,8.58333
CPU,31,2.9
CPU,99,0.616675
CPU,93,0.616675
CPU,89,1.23335
CPU,39,0.616675
CPU,17,1.83333
CPU,71,0.616675
CPU,1,0.6
CPU,87,8.58333
IO,62,7840.4
CPU,91,0.61665
CPU,37,0.616675
CPU,35,0.616675
CPU,67,8.58333
IO,6,8149.32
IO,20,8233.12
IO,10,8248.52
IO,58,8415.55
IO,68,8482.1
IO,86,8652.27
IO,32,8773.88
IO,46,8789.7
IO,38,8872.33
IO,24,8903.9
IO,78,8911.5
IO,14,9075.2
IO,2,9112.42
IO,88,9142.18
IO,12,9179.75
IO,18,9210.17
IO,42,9223.28
IO,80,9249.73
IO,52,9244.07
IO,90,9285.12
IO,54,9330.1
IO,84,9313.38
IO,22,9385.57
IO,72,9373.48
IO,94,9367.23
IO,74,9434.95
IO,8,9453.45
IO,98,9462.25
IO,44,9540.03
IO,92,9538.87
CPU,25,2.9
CPU,41,3.06665
CPU,79,8.58333
CPU,43,3.06665
CPU,55,8.58333
CPU,97,0.6
CPU,13,1.21665
IO,0,9632.97
IO,82,9616.67
IO,70,9629.55
IO,28,9656.47
IO,60,9650.7
IO,66,9658.07
IO,76,9749.67
IO,48,9787.3
IO,96,9791.48
IO,56,10007
IO,34,10022.8
IO,4,10134.9
IO,50,10140.4
IO,16,10206.3
IO,40,10231.6
CPU,27,0.616675
IO,36,10238.5
IO,30,10358.9
CPU,5,0.61665
CPU,77,8.58333
CPU,15,5.51665
CPU,3,0.6
IO,26,10371.1
CPU,51,3.06668
CPU,95,0.6
CPU,47,3.06665
CPU,33,2.9
CPU,85,8.58333
CPU,69,8.58333
CPU,11,3.66665
CPU,29,2.9
CPU,59,1.83333
CPU,57,8.58333
CPU,53,8.58333
IO,64,10425.7
CPU,63,0.6
CPU,23,3.05
CPU,75,8.58333
CPU,9,4.28332
CPU,81,8.58333
CPU,21,0.6
CPU,65,8.58333
CPU,45,1.23333
