tipo,indice,valor
CPU,1,0.63335
CPU,3,0.61665
CPU,5,0.63335
CPU,7,0.61665
CPU,9,0.616675
CPU,11,0.633325
CPU,13,0.616675
CPU,15,0.616675
CPU,17,0.616675
CPU,19,0.616675
CPU,21,0.616675
CPU,23,0.616675
CPU,25,0.633325
CPU,27,0.63335
CPU,29,0.633325
CPU,31,0.633325
CPU,33,0.63335
CPU,35,0.633325
CPU,37,0.633325
CPU,39,0.63335
CPU,41,0.616675
CPU,43,0.633325
CPU,45,0.633325
CPU,47,0.63335
CPU,49,0.63335
IO,0,4031.18
IO,2,4030.63
IO,4,4030.02
IO,6,4029.42
IO,8,4028.77
IO,10,4028.15
IO,12,4027.68
IO,16,4026.43
IO,14,4026.98
IO,18,4025.7
IO,22,4024.6
IO,20,4025.22
IO,24,4024
IO,26,4023.22
IO,32,4021.38
IO,28,4022.77
IO,30,4021.97
IO,34,4020.88
IO,36,4020.08
IO,38,4019.62
IO,40,4018.88
IO,42,4018.2
IO,44,4017.72
IO,46,4017.08
IO,48,4016.35
