tipo,indice,valor
IO,2,1779.22
IO,84,1824
IO,198,1796.87
IO,182,1788.77
IO,34,1856.98
IO,130,1857.58
IO,72,1864.38
IO,126,1863.72
IO,86,1852.32
IO,110,1857.92
IO,16,1887.15
IO,64,1890.5
IO,32,1899.73
IO,190,1908.77
IO,54,1913.95
IO,150,1910.98
IO,96,1893.9
IO,180,1919.2
IO,78,1934.12
IO,14,1939.98
IO,6,1942.9
IO,82,1952.97
IO,192,1950.43
IO,102,1983.25
IO,92,1985.18
IO,74,1988.08
IO,60,1991.85
IO,90,1993.88
IO,148,1994.6
IO,22,1991.53
IO,166,2000.3
IO,136,1996.57
IO,30,2007.25
IO,24,2013.13
IO,40,2015.22
IO,38,2020.27
IO,124,2019.58
IO,158,2029.92
IO,12,2034.9
IO,128,2015.77
IO,172,2041.02
IO,28,2050.72
IO,88,2048.92
IO,106,2044.43
IO,184,2055.42
IO,50,2059.57
IO,120,2064
IO,178,2065.38
IO,48,2070.48
IO,174,2068.48
IO,142,2074.2
IO,44,2041.77
IO,156,2080.62
IO,26,2092.72
IO,36,2095.32
IO,70,2101.13
IO,134,2103.32
IO,58,2106.08
IO,94,2103.97
IO,8,2112.75
IO,104,2113.67
IO,20,2119.7
IO,0,2120.47
IO,118,2120.08
IO,188,2120.17
IO,116,2123.32
IO,76,2129.23
IO,66,2096.8
IO,4,2132.15
IO,164,2128.78
IO,108,2024.87
IO,46,1968.98
IO,176,2129.77
IO,146,2132.55
IO,62,2135.58
IO,170,2135.43
IO,194,2135.92
IO,68,2140.75
IO,144,2139.28
IO,196,2141.97
IO,132,2141.72
IO,186,2142.6
IO,140,2148.27
IO,18,2155.32
IO,154,2154.73
IO,80,2160.07
IO,168,2158.97
IO,152,2160.87
IO,100,2170.22
IO,122,2028.32
IO,98,2172.37
IO,112,2175.48
IO,160,2175.33
IO,162,2174.67
IO,52,2197.03
IO,10,2197.62
IO,42,2207.05
IO,114,1820.08
IO,56,1948.83
IO,138,2208.45
CPU,105,1.81668
CPU,177,0.6
CPU,195,0.616675
CPU,139,1.86668
CPU,95,3.01668
CPU,163,1.21665
CPU,169,0.616675
CPU,109,0.6
CPU,141,0.6
CPU,149,0.616675
CPU,185,1.2
CPU,181,0.6
CPU,127,8.51665
CPU,143,0.6
CPU,193,0.616675
CPU,151,1.21667
CPU,183,1.2
CPU,31,0.616675
CPU,171,0.616675
CPU,167,0.6
CPU,119,0.6
CPU,17,6.85
CPU,165,1.2
CPU,83,2.41665
CPU,97,0.6
CPU,71,1.21667
CPU,107,0.6
CPU,199,0.6
CPU,91,1.2
CPU,43,3.63333
CPU,49,1.21667
CPU,15,3.9
CPU,55,0.616675
CPU,39,3.63333
CPU,29,0.66665
CPU,115,1.21667
CPU,63,1.8
CPU,189,2.4
CPU,187,0.6
CPU,3,0.6
CPU,85,2.41668
CPU,93,0.6
CPU,121,0.6
CPU,173,0.6
CPU,1,0.6
CPU,57,1.8
CPU,13,3.9
CPU,191,0.6
CPU,65,0.6
CPU,103,1.81668
CPU,145,2.41668
CPU,11,3.9
CPU,79,1.2
CPU,153,0.6
CPU,81,0.6
CPU,51,1.21667
CPU,137,6.05
CPU,19,3.9
CPU,33,0.6
CPU,67,0.6
CPU,61,1.8
CPU,159,0.6
CPU,9,6.85
CPU,37,3.61665
CPU,89,2.4
CPU,99,3.03335
CPU,135,16.4
CPU,27,0.666675
CPU,197,0.6
CPU,53,1.81668
CPU,147,1.81668
CPU,25,3.9
CPU,129,8.51665
CPU,155,3.01668
CPU,179,1.8
CPU,123,2.4
CPU,23,6.85
CPU,133,0.6
CPU,157,3.01665
CPU,45,3.63333
CPU,175,0.6
CPU,111,0.583325
CPU,5,0.6
CPU,101,1.81668
CPU,69,2.41668
CPU,21,3.9
CPU,113,0.6
CPU,47,3.63333
CPU,77,0.6
CPU,73,0.6
CPU,117,6.7
CPU,131,1.81668
CPU,87,1.2
CPU,125,2.41665
CPU,7,6.85
CPU,41,3.63333
CPU,75,0.6
CPU,35,1.2
CPU,161,0.616675
CPU,59,2.4
