tipo,indice,valor
CPU,41,0.633325
CPU,13,4.41665
CPU,55,0.65
CPU,89,0.633325
CPU,77,0.633325
CPU,87,0.63335
CPU,7,5.66665
CPU,59,0.633325
CPU,11,4.41665
CPU,15,4.41665
CPU,81,0.633325
CPU,97,0.633325
CPU,71,0.63335
CPU,57,0.63335
CPU,23,3.76668
IO,62,8190.47
IO,74,8357.55
IO,46,8566.17
IO,20,8624.03
IO,38,8650.98
IO,54,8778.93
IO,84,8735.38
IO,14,8946.45
IO,78,8855.67
IO,44,9019.88
IO,70,9025.77
IO,16,9072.8
IO,92,9068.92
IO,80,9080
IO,28,9204.17
IO,40,9248.38
IO,10,9282.43
IO,56,9250.52
IO,2,9302.45
IO,98,9230.68
IO,86,9266.13
IO,94,9329.88
IO,8,9466.05
CPU,29,3.76668
CPU,21,4.41665
CPU,31,3.76668
CPU,67,0.63335
CPU,53,0.633325
CPU,25,3.76668
CPU,83,0.63335
CPU,51,1.86665
CPU,79,0.616675
CPU,39,0.616675
CPU,47,1.86665
IO,22,9526.65
IO,6,9578.07
IO,30,9611
IO,68,9586.37
IO,82,9508.25
IO,72,9512.88
IO,18,9594.12
IO,58,9687.42
IO,96,9665.2
IO,36,9710.95
IO,48,9809.23
IO,88,9760.67
IO,76,9790.85
IO,4,9908.67
IO,50,9924.27
IO,60,9903.28
IO,0,9943.37
IO,66,9951.9
IO,64,9967.43
IO,26,10073.2
IO,32,10302.9
IO,42,10307
IO,34,10321.8
CPU,85,0.633325
CPU,49,2.5
CPU,37,0.633325
CPU,43,0.616675
CPU,65,0.616675
CPU,9,5.03332
CPU,61,1.25
CPU,3,0.616675
CPU,45,1.86665
CPU,1,0.616675
CPU,35,0.616675
CPU,17,4.41665
CPU,69,0.61665
CPU,5,4.41665
CPU,63,0.61665
CPU,95,0.633325
CPU,91,0.616675
CPU,75,0.616675
CPU,33,3.76668
CPU,93,0.61665
CPU,27,3.76668
CPU,99,0.616675
CPU,19,4.41665
CPU,73,0.616675
IO,90,10443.7
IO,52,10644.9
IO,12,10956.1
IO,24,10990
