tipo,indice,valor
CPU,25,8.53332
CPU,1,13.45
CPU,3,13.25
CPU,5,13.05
CPU,7,12.9
CPU,9,12.7
CPU,11,12.4833
CPU,13,12.2833
CPU,15,12.0833
CPU,17,11.9167
CPU,19,11.7333
CPU,21,11.5333
CPU,23,11.35
CPU,27,10.95
CPU,29,10.75
CPU,33,12
CPU,43,11
CPU,31,15.3167
CPU,35,11.8333
CPU,37,11.6
CPU,39,11.4
CPU,41,11.2
CPU,45,10.8
CPU,47,16.2833
CPU,49,17.2667
CPU,51,14.8667
CPU,53,14.65
CPU,55,14.4833
CPU,57,14.3167
CPU,59,14.15
CPU,61,13.95
CPU,63,13.7333
CPU,65,13.5334
CPU,67,13.3333
CPU,69,13.1333
CPU,71,12.9333
CPU,79,11.4833
CPU,81,11.25
CPU,83,11.05
CPU,85,10.8833
CPU,73,16.7333
CPU,75,13.5667
CPU,77,13.3667
CPU,87,15.55
CPU,89,15.35
CPU,91,10.95
CPU,93,10.7333
CPU,95,10.5333
CPU,97,15.0334
CPU,99,11.8
IO,90,9699.3
IO,82,9706.75
IO,42,9721.78
IO,30,9730.7
IO,98,9705.42
IO,68,9719.27
IO,70,9726.93
IO,22,9744.33
IO,36,9739.88
IO,52,9731.02
IO,86,9725.68
IO,50,9734.42
IO,38,9742.85
IO,88,9728.78
IO,8,9751.1
IO,92,9724.57
IO,94,9725.5
IO,12,9752.67
IO,18,9752.08
IO,10,9753.15
IO,80,9732.58
IO,54,9738.73
IO,40,9747.62
IO,24,9753.12
IO,72,9738
IO,14,9755.13
IO,84,9734.15
IO,78,9735.57
IO,48,9744.38
IO,4,9757.45
IO,64,9740.63
IO,26,9755.15
IO,20,9755.83
IO,16,9756.67
IO,44,9750.68
IO,96,9730.95
IO,0,9760.6
IO,58,9744.15
IO,34,9754.08
IO,6,9760.77
IO,28,9758.48
IO,46,9753.47
IO,56,9745.3
IO,32,9755.73
IO,74,9740.88
IO,76,9740.7
IO,66,9744.82
IO,2,9762.43
IO,60,9745.93
IO,62,9745.73
