tipo,indice,valor
CPU,1,0.616675
CPU,3,0.616675
CPU,5,0.61665
CPU,7,0.616675
CPU,9,0.633325
CPU,11,0.616675
CPU,13,0.65
CPU,15,0.616675
CPU,17,0.633325
CPU,19,0.633325
CPU,21,0.616675
CPU,23,0.65
CPU,25,0.66665
CPU,27,0.666675
CPU,29,0.666675
CPU,31,0.633325
CPU,33,0.65
CPU,35,0.666675
CPU,37,0.66665
CPU,39,0.66665
CPU,41,0.65
CPU,43,0.666675
CPU,45,0.66665
CPU,47,0.68335
CPU,49,0.66665
IO,0,5160.17
IO,2,5159.75
IO,4,5159.17
IO,6,5158.57
IO,8,5157.97
IO,10,5157.37
IO,12,5156.78
IO,14,5156.13
IO,16,5155.52
IO,18,5154.92
IO,20,5154.28
IO,22,5153.68
IO,24,5153.05
IO,26,5152.42
IO,28,5151.77
IO,30,5151.12
IO,32,5150.47
IO,34,5149.83
IO,36,5149.17
IO,38,5148.53
IO,40,5147.87
IO,42,5147.2
IO,44,5146.57
IO,46,5145.9
IO,48,5145.23
