tipo,indice,valor
CPU,7,6.1
CPU,81,4.3
CPU,89,0.616675
CPU,99,0.616675
CPU,59,1.83335
CPU,5,6.1
CPU,97,0.61665
CPU,75,5.53332
CPU,31,1.23335
CPU,47,3.05
CPU,23,0.616675
CPU,93,1.23333
CPU,17,6.1
CPU,61,1.21665
CPU,11,6.1
CPU,35,1.23333
CPU,21,6.1
CPU,71,1.23333
CPU,83,4.3
IO,28,7788.92
IO,38,7950.93
IO,42,8017.65
IO,22,8128.58
IO,90,8142.25
IO,20,8174.02
IO,78,8207.18
IO,10,8259.6
IO,2,8366.83
IO,46,8446.55
IO,48,8529.1
IO,24,8714.22
IO,84,8770.17
IO,88,8605.6
IO,92,8797.05
IO,16,8919.8
IO,40,8888.73
IO,60,8918.17
IO,12,8905.78
IO,30,8967.23
IO,96,8991.03
IO,80,9058.37
IO,76,9075.77
IO,8,9132.6
IO,58,9235.27
IO,0,9265.47
IO,44,9314.85
IO,18,9333.28
IO,56,9328.33
IO,32,9066.88
IO,94,9354.68
IO,74,9511.53
IO,98,9555.32
IO,66,9585.72
IO,82,9673.25
IO,36,9703.68
IO,70,9713.47
IO,14,9735.4
IO,64,9717.18
IO,34,9778.73
IO,86,9840.82
IO,26,9861.05
IO,72,9872.87
IO,54,9910.68
IO,68,9788.53
IO,52,9911.65
IO,4,9987.72
IO,62,9990.92
CPU,29,0.616675
CPU,95,1.23333
CPU,27,0.616675
IO,50,10090
IO,6,10116.5
CPU,37,7.33333
CPU,85,4.91667
CPU,51,1.21667
CPU,77,4.3
CPU,15,6.1
CPU,91,1.83333
CPU,9,6.1
CPU,65,0.6
CPU,39,2.45
CPU,25,0.6
CPU,55,2.43335
CPU,49,0.6
CPU,45,0.6
CPU,63,0.6
CPU,41,0.6
CPU,19,6.1
CPU,87,4.3
CPU,73,4.3
CPU,53,0.6
CPU,3,6.1
CPU,43,4.88333
CPU,69,4.3
CPU,1,0.6
CPU,67,0.6
CPU,13,6.1
CPU,57,6.78335
CPU,79,4.3
CPU,33,1.83333
