tipo,indice,valor
CPU,1,8.55
CPU,3,8.53332
CPU,5,8.5
CPU,7,8.48335
CPU,9,8.45
CPU,11,8.43332
CPU,13,8.38335
CPU,15,8.36668
CPU,17,8.33333
CPU,19,8.28332
CPU,21,8.25
CPU,23,8.21668
CPU,41,6
CPU,43,5.96668
CPU,45,5.91665
CPU,25,11.1833
CPU,27,8.66667
CPU,29,8.65
CPU,31,8.61668
CPU,33,8.58333
CPU,35,8.56665
CPU,37,8.53335
CPU,39,8.51667
CPU,47,10.3
CPU,49,5.7
IO,12,4870.15
IO,10,4958.67
IO,42,4962.88
IO,38,4966.7
IO,24,4971.3
IO,32,4969.87
IO,28,4971.98
IO,34,4977.12
IO,6,4982.75
IO,46,4975.97
IO,48,4971.9
IO,30,4979.98
IO,14,4984.42
IO,2,4987.13
IO,22,4985.77
IO,16,4986.73
IO,44,4981.32
IO,40,4981.98
IO,4,4988.52
IO,36,4983.05
IO,26,4984.2
IO,0,4989.9
IO,8,4989.47
IO,20,4988.58
IO,18,4989.03
