tipo,indice,valor
CPU,1,10.0167
CPU,3,9.96668
CPU,5,9.93332
CPU,7,9.9
CPU,9,9.86668
CPU,11,9.81665
CPU,13,9.78335
CPU,15,9.75
CPU,17,9.71665
CPU,19,9.68335
CPU,21,9.65
CPU,23,9.61665
CPU,25,9.58335
CPU,27,9.55
CPU,29,9.51665
CPU,31,9.48335
CPU,33,9.43332
CPU,35,9.38335
CPU,37,9.36668
CPU,39,9.31665
CPU,41,9.26667
CPU,43,10.35
CPU,45,5.75
CPU,47,10.45
CPU,49,6.15
CPU,51,6.1
CPU,53,10.4833
CPU,55,9.41665
CPU,57,9.36665
CPU,59,9.3
CPU,61,9.23333
CPU,63,9.2
CPU,65,9.15
CPU,67,9.1
CPU,69,9.05
CPU,71,8.98335
CPU,73,8.93332
CPU,75,8.86665
CPU,77,8.81668
CPU,79,8.78335
CPU,81,8.73333
CPU,83,8.66667
CPU,85,8.6
CPU,87,10.45
CPU,89,6.13333
CPU,91,6.06668
CPU,93,10.4
CPU,95,6.55
CPU,97,6.46668
CPU,99,6.4
CPU,101,6.33335
CPU,103,10.4167
CPU,105,8.73333
CPU,107,8.66667
CPU,109,8.58333
CPU,111,8.53332
CPU,113,8.45
CPU,115,8.38332
CPU,117,8.31665
CPU,119,8.26665
CPU,121,8.2
CPU,123,8.13332
CPU,125,8.05
CPU,127,7.95
CPU,129,10.5667
CPU,131,6.75
CPU,133,6.66665
CPU,135,6.58335
CPU,137,6.5
CPU,139,10.4666
CPU,141,6.91667
CPU,143,6.85
CPU,145,6.76668
CPU,147,6.68332
CPU,149,6.6
CPU,151,11.65
CPU,153,9.38332
CPU,155,9.3
CPU,157,9.18335
CPU,159,9.1
CPU,161,8.98335
CPU,163,8.88332
CPU,165,8.8
CPU,167,8.73333
CPU,169,8.61668
CPU,171,10.2667
CPU,173,6.88333
CPU,175,6.76668
CPU,177,6.66667
CPU,179,6.56665
CPU,181,6.46668
CPU,183,10.3
CPU,185,7.06668
CPU,187,6.96668
CPU,189,6.86665
CPU,191,6.76668
CPU,193,6.66667
CPU,195,6.56665
CPU,197,7.6
CPU,199,7.5
IO,48,1983.98
IO,16,2000.2
IO,38,1998.65
IO,8,2003.97
IO,12,2003.55
IO,78,1987.32
IO,72,1988.2
IO,24,2003.92
IO,42,2002.02
IO,118,1973.37
IO,196,1947.33
IO,92,1982.52
IO,96,1978.35
IO,120,1973.85
IO,2,2007.42
IO,150,1963.35
IO,138,1968.65
IO,26,2005.45
IO,108,1976.32
IO,20,2006.22
IO,46,1998.82
IO,64,1991.47
IO,30,2005.18
IO,10,2007.45
IO,102,1978.93
IO,98,1979.47
IO,142,1965.03
IO,6,2007.98
IO,4,2008.35
IO,76,1990.6
IO,34,2005.3
IO,18,2007.1
IO,190,1950.48
IO,36,2005.75
IO,22,2007.38
IO,112,1977.32
IO,168,1960.48
IO,156,1962.22
IO,44,2000.78
IO,84,1990.82
IO,144,1966.3
IO,40,2005.8
IO,66,1992.98
IO,172,1957.07
IO,110,1978.05
IO,32,2006.95
IO,28,2007.42
IO,90,1986.12
IO,56,1994.65
IO,86,1991.15
IO,124,1976.78
IO,180,1956.63
IO,170,1961.55
IO,52,1996.67
IO,194,1951.77
IO,140,1967.95
IO,0,2011.45
IO,192,1952.38
IO,106,1979.9
IO,160,1963.4
IO,174,1958.18
IO,14,2010.15
IO,164,1962.85
IO,74,1993.63
IO,176,1958.12
IO,178,1957.87
IO,130,1973.38
IO,100,1982.78
IO,132,1973.43
IO,198,1949.63
IO,88,1988.18
IO,70,1994.65
IO,62,1995.67
IO,152,1965.27
IO,186,1954.18
IO,126,1978.25
IO,80,1993.68
IO,136,1973.25
IO,94,1983.98
IO,54,1996.83
IO,162,1964.15
IO,128,1978.2
IO,60,1996.23
IO,104,1981.23
IO,182,1958.15
IO,50,1998.47
IO,158,1964.78
IO,114,1980.1
IO,68,1995.42
IO,134,1973.82
IO,122,1979.13
IO,148,1968.5
IO,166,1963.82
IO,58,1996.68
IO,82,1993.83
IO,116,1979.97
IO,188,1954.38
IO,154,1965.57
IO,146,1968.9
IO,184,1955.03
