tipo,indice,valor
IO,160,1779.5
IO,82,1789.48
IO,172,1793.3
IO,22,1805.45
IO,150,1806.62
IO,54,1814.1
IO,48,1820.33
IO,136,1822.07
IO,164,1836.78
IO,162,1842.17
IO,40,1858.17
IO,32,1871.72
IO,34,1849.72
IO,80,1884.42
IO,178,1889.7
IO,158,1890.8
IO,62,1898.02
IO,176,1895.15
IO,88,1914.13
IO,60,1915.03
IO,10,1924.68
IO,70,1927.17
IO,124,1925.58
IO,28,1927.8
IO,192,1926.7
IO,118,1933.8
IO,44,1932.8
IO,96,1937.72
IO,84,1938.92
IO,92,1950.98
IO,142,1951.55
IO,168,1951.15
IO,102,1956.35
IO,130,1962.53
IO,194,1962.73
IO,36,1970.72
IO,110,1967.37
IO,74,1982.92
IO,112,1993.58
IO,68,1999.38
IO,94,2003.62
IO,90,2007.47
IO,52,2011.55
IO,154,2009.65
IO,156,2012.78
IO,6,2018.37
IO,120,2016.27
IO,146,2017.83
IO,78,2024.85
IO,8,2031.12
IO,166,2032.05
IO,38,2041.43
IO,42,2044.52
IO,116,2042.83
IO,152,2035.77
IO,198,2047.6
IO,50,2050.13
IO,98,2051.23
IO,148,2047.27
IO,26,2051.97
IO,122,2070.77
IO,144,2071.62
IO,170,2071.43
IO,128,2079.82
IO,64,2082.35
IO,18,2082.18
IO,126,2082.77
IO,24,2086.23
IO,184,2078.9
IO,86,2086.25
IO,186,2085.03
IO,56,2088
IO,14,2094.7
IO,104,2095.63
IO,106,2095.27
IO,76,2100.08
IO,58,2108.4
IO,16,2110.13
IO,132,2107.08
IO,4,2115.97
IO,196,2043.75
IO,66,2114.97
IO,20,2124.22
IO,72,2121.73
IO,12,2125.5
IO,190,2121.2
IO,0,2127.7
IO,134,2130.77
IO,174,2135
IO,140,2157.83
IO,188,2170.75
IO,30,2178.83
IO,2,2189.57
IO,138,2201.42
IO,180,2220.52
IO,114,2235.78
IO,108,2257.93
IO,46,2264.82
IO,182,2275.73
IO,100,2287.17
CPU,23,0.6
CPU,5,0.6
CPU,157,4.85
CPU,41,3.03333
CPU,163,1.21667
CPU,121,6.61665
CPU,81,0.616675
CPU,19,3
CPU,129,6.61665
CPU,115,6.61665
CPU,63,6.06668
CPU,181,1.21667
CPU,171,0.616675
CPU,93,0.616675
CPU,15,3
CPU,35,1.21665
CPU,37,0.6
CPU,67,2.41668
CPU,31,7.31668
CPU,103,0.616675
CPU,195,0.616675
CPU,199,0.61665
CPU,59,0.616675
CPU,127,10.2166
CPU,101,3.03333
CPU,45,3.03333
CPU,43,3.03333
CPU,51,0.6
CPU,135,0.61665
CPU,145,1.8
CPU,197,1.21665
CPU,185,1.81665
CPU,147,3.6
CPU,169,1.2
CPU,173,0.6
CPU,69,2.41668
CPU,7,8.51667
CPU,177,0.6
CPU,179,0.6
CPU,53,0.61665
CPU,87,9.01665
CPU,79,2.43332
CPU,167,0.6
CPU,57,2.45
CPU,193,0.6
CPU,137,9.61665
CPU,25,1.21665
CPU,123,8.41665
CPU,161,0.6
CPU,191,0.6
CPU,99,1.21667
CPU,95,0.6
CPU,189,0.6
CPU,117,7.81665
CPU,39,3.03333
CPU,85,0.6
CPU,89,1.2
CPU,17,3
CPU,153,3.6
CPU,91,4.28335
CPU,49,0.6
CPU,13,3
CPU,73,1.8
CPU,139,7.21665
CPU,125,3.01665
CPU,55,0.6
CPU,77,0.6
CPU,165,0.6
CPU,29,1.2
CPU,27,0.6
CPU,149,3.61665
CPU,159,0.6
CPU,107,1.81668
CPU,151,3.61665
CPU,61,1.21667
CPU,155,3.61665
CPU,133,2.41665
CPU,21,3
CPU,75,1.2
CPU,175,0.6
CPU,105,4.8
CPU,119,6.61665
CPU,143,1.81665
CPU,83,0.6
CPU,65,2.41668
CPU,33,7.26668
CPU,11,3.6
CPU,71,2.41668
CPU,3,1.18335
CPU,109,2.41668
CPU,183,0.6
CPU,97,3.61665
CPU,187,1.2
CPU,131,6.61665
CPU,141,1.21665
CPU,9,4.2
CPU,47,0.6
CPU,113,4.2
CPU,111,6.61665
CPU,1,5.41665
