tipo,indice,valor
CPU,1,0.616675
CPU,3,0.616675
CPU,5,0.61665
CPU,7,0.616675
CPU,9,0.61665
CPU,11,0.616675
CPU,13,0.61665
CPU,15,0.616675
CPU,17,0.633325
CPU,19,0.616675
CPU,21,0.633325
CPU,23,0.616675
CPU,25,0.633325
CPU,27,0.616675
CPU,29,0.616675
CPU,31,0.616675
CPU,33,0.633325
CPU,35,0.63335
CPU,37,0.61665
CPU,39,0.633325
CPU,41,0.616675
CPU,43,0.61665
CPU,45,0.63335
CPU,47,0.63335
CPU,49,0.633325
CPU,51,0.633325
CPU,53,0.63335
CPU,55,0.65
CPU,57,0.633325
CPU,59,0.633325
CPU,61,0.633325
CPU,63,0.63335
CPU,65,0.633325
CPU,67,0.633325
CPU,69,0.633325
CPU,71,0.633325
CPU,73,0.65
CPU,75,0.65
CPU,77,0.63335
CPU,79,0.63335
CPU,81,0.65
CPU,83,0.65
CPU,85,0.633325
CPU,87,0.633325
CPU,89,0.633325
CPU,91,0.66665
CPU,93,0.63335
CPU,95,0.65
CPU,97,0.65
CPU,99,0.63335
IO,0,10479.2
IO,2,10478.8
IO,4,10478.2
IO,6,10477.6
IO,8,10477
IO,10,10476.5
IO,12,10475.9
IO,14,10475.2
IO,16,10474.7
IO,18,10474.1
IO,20,10473.5
IO,22,10472.9
IO,24,10472.3
IO,26,10471.7
IO,28,10471.1
IO,30,10470.6
IO,32,10470
IO,34,10469.4
IO,36,10468.8
IO,38,10468.2
IO,40,10467.8
IO,42,10467
IO,44,10466.4
IO,46,10465.8
IO,48,10465.2
IO,50,10464.6
IO,52,10464
IO,54,10463.4
IO,56,10462.8
IO,58,10462.1
IO,60,10461.5
IO,62,10461.1
IO,64,10460.3
IO,66,10459.6
IO,68,10459
IO,70,10458.4
IO,72,10457.8
IO,74,10457.1
IO,76,10456.5
IO,78,10455.8
IO,80,10455.2
IO,82,10454.6
IO,84,10453.9
IO,86,10453.3
IO,88,10452.6
IO,90,10452
IO,92,10451.6
IO,94,10450.7
IO,96,10450.3
IO,98,10449.4
