tipo,indice,valor
CPU,1,0.616675
CPU,3,0.616675
CPU,5,0.61665
CPU,7,0.616675
CPU,9,0.616675
CPU,11,0.633325
CPU,13,0.6
CPU,15,0.61665
CPU,17,0.666675
CPU,19,0.7
CPU,21,0.633325
CPU,23,0.61665
CPU,25,0.65
CPU,27,0.766675
CPU,29,0.633325
CPU,31,0.68335
CPU,33,0.66665
CPU,35,0.68335
CPU,37,0.633325
CPU,39,0.683325
CPU,41,0.666675
CPU,43,0.633325
CPU,45,0.716675
CPU,47,0.65
CPU,49,0.65
CPU,51,0.7
CPU,53,0.65
CPU,55,0.65
CPU,57,0.65
CPU,59,0.65
CPU,61,0.71665
CPU,63,0.78335
CPU,65,0.71665
CPU,67,0.65
CPU,69,0.65
CPU,71,0.65
CPU,73,0.65
CPU,75,0.65
CPU,77,0.633325
CPU,79,0.65
CPU,81,0.633325
CPU,83,0.65
CPU,85,0.65
CPU,87,0.666675
CPU,89,0.633325
CPU,91,0.66665
CPU,93,0.65
CPU,95,0.65
CPU,97,0.65
CPU,99,0.666675
IO,0,10540.1
IO,2,10539.7
IO,4,10539.1
IO,6,10538.5
IO,8,10538
IO,10,10537.4
IO,12,10536.8
IO,14,10536.2
IO,16,10535.6
IO,18,10535
IO,20,10534.4
IO,22,10533.7
IO,24,10533.1
IO,26,10532.5
IO,28,10531.9
IO,30,10531.2
IO,32,10530.6
IO,34,10529.9
IO,36,10529.3
IO,38,10528.6
IO,40,10528
IO,42,10527.4
IO,44,10526.7
IO,46,10526.1
IO,48,10525.4
IO,50,10524.8
IO,52,10524.1
IO,54,10523.5
IO,56,10522.8
IO,58,10522.2
IO,60,10521.6
IO,62,10520.9
IO,64,10520.2
IO,66,10519.5
IO,68,10518.8
IO,70,10518.1
IO,72,10517.5
IO,74,10516.8
IO,76,10516.2
IO,78,10515.5
IO,80,10514.9
IO,82,10514.2
IO,84,10513.6
IO,86,10512.9
IO,88,10512.3
IO,90,10511.6
IO,92,10511
IO,94,10510.3
IO,96,10509.6
IO,98,10509
