tipo,indice,valor
CPU,1,6.33335
CPU,21,9.51665
CPU,19,9.53332
CPU,17,9.55
CPU,15,9.56665
CPU,11,9.6
CPU,3,6.3
CPU,5,6.26665
CPU,7,6.25
CPU,9,10.5
CPU,13,14
CPU,23,9.5
CPU,25,9.48333
CPU,27,9.46665
CPU,29,9.45
CPU,37,9.4
CPU,41,9.38332
CPU,43,9.36668
CPU,31,12.05
CPU,33,11.85
CPU,35,11.6834
CPU,39,11.25
CPU,45,10.5666
CPU,47,16.1167
CPU,49,11.3
CPU,81,6.65
CPU,51,12.7
CPU,53,12.4666
CPU,55,12.25
CPU,69,10.8333
CPU,71,10.7667
CPU,75,10.6833
CPU,77,11.5
CPU,79,11.2667
CPU,83,10.7834
CPU,85,10.55
CPU,57,16.9834
CPU,59,15.65
CPU,61,15.4167
CPU,63,15.1834
CPU,65,14.9334
CPU,67,14.7167
CPU,73,13.9833
CPU,89,6.41665
CPU,87,15.4666
CPU,91,10.9167
CPU,93,10.6833
CPU,103,6.51668
CPU,97,6.65
CPU,95,15.2333
CPU,99,10.7667
CPU,101,10.55
CPU,113,7.96665
CPU,119,7.76665
CPU,111,8.05
CPU,115,7.9
CPU,125,7.56665
CPU,105,13.1167
CPU,107,12.85
CPU,109,12.5833
CPU,117,11.5333
CPU,121,11.0167
CPU,123,10.75
CPU,127,10.4167
CPU,129,11.35
CPU,131,11.1
CPU,133,10.8667
CPU,135,10.6167
CPU,137,10.3666
CPU,139,6.8
CPU,145,6.61665
CPU,141,11.4833
CPU,143,11.2166
CPU,147,10.6667
CPU,149,15.15
CPU,151,12.5667
CPU,153,12.35
CPU,155,12.15
CPU,157,11.9167
CPU,159,11.6833
CPU,161,11.4333
CPU,163,11.2333
CPU,165,11.0333
CPU,167,10.7667
CPU,169,11.7834
CPU,171,11.55
CPU,173,11.3
CPU,175,11.0833
CPU,177,10.8666
CPU,179,10.6166
CPU,181,15.0833
CPU,183,11.35
CPU,185,11.1
CPU,187,10.8333
CPU,189,10.5333
CPU,191,15.0167
CPU,193,11.9167
CPU,195,11.65
CPU,197,11.3834
CPU,199,11.1167
IO,22,2139.65
IO,94,2117.62
IO,2,2144.3
IO,44,2143.1
IO,6,2148.25
IO,34,2144.85
IO,20,2146.62
IO,64,2131.63
IO,4,2149.62
IO,26,2146.52
IO,100,2119.97
IO,90,2125.25
IO,0,2150.77
IO,82,2130.62
IO,16,2148.53
IO,116,2116.77
IO,68,2132.88
IO,48,2140.52
IO,150,2103.05
IO,10,2149.58
IO,12,2149.58
IO,66,2133.87
IO,42,2146.88
IO,80,2132.4
IO,124,2116.82
IO,172,2097.68
IO,46,2146.55
IO,158,2103.07
IO,24,2149.17
IO,168,2101.73
IO,112,2118.65
IO,96,2122.83
IO,18,2150.2
IO,14,2150.87
IO,56,2137.43
IO,40,2148.15
IO,72,2134.4
IO,38,2148.43
IO,58,2136.18
IO,78,2133.78
IO,74,2134.27
IO,128,2114.02
IO,104,2122.7
IO,32,2149.35
IO,132,2113.58
IO,162,2103.65
IO,88,2129.05
IO,92,2128.67
IO,70,2135.43
IO,140,2109.52
IO,160,2104.43
IO,198,2089.42
IO,8,2153.58
IO,188,2093.8
IO,30,2150.38
IO,136,2113.98
IO,126,2118.82
IO,110,2121.18
IO,52,2139.57
IO,176,2099.77
IO,62,2137.4
IO,50,2140.05
IO,118,2120.5
IO,194,2091
IO,152,2106.68
IO,106,2122.2
IO,186,2095.23
IO,28,2151.7
IO,182,2095.9
IO,60,2138.12
IO,138,2114.7
IO,164,2105.28
IO,166,2105.03
IO,178,2100.1
IO,114,2121.47
IO,54,2140.13
IO,108,2122.4
IO,154,2107.02
IO,84,2135.53
IO,144,2110.77
IO,36,2151.33
IO,130,2116.22
IO,184,2096.1
IO,98,2125.92
IO,148,2110.3
IO,190,2095.3
IO,174,2101.2
IO,146,2110.68
IO,102,2125.55
IO,180,2100.37
IO,170,2101.85
IO,86,2135.65
IO,156,2107.17
IO,196,2091.78
IO,134,2116.03
IO,192,2092.42
IO,142,2111.5
IO,76,2137.03
IO,120,2121.42
IO,122,2121.15
