tipo,indice,valor
CPU,1,9.41665
CPU,3,9.38332
CPU,5,9.36668
CPU,7,9.33333
CPU,9,9.3
CPU,11,9.28335
CPU,13,9.26667
CPU,15,9.23333
CPU,17,9.18335
CPU,19,9.16667
CPU,21,9.13332
CPU,23,9.11668
CPU,25,9.08333
CPU,27,9.05
CPU,29,9.03335
CPU,31,9.01667
CPU,33,9
CPU,35,8.98335
CPU,37,10.3833
CPU,39,6.63333
CPU,41,6.6
CPU,43,6.56668
CPU,45,6.51668
CPU,47,6.46665
CPU,49,10.2667
IO,36,4956.13
IO,34,4963.95
IO,32,4964.8
IO,2,4968.93
IO,42,4964.97
IO,10,4989.47
IO,48,4994.07
IO,26,5000.73
IO,38,4996.45
IO,6,5004.82
IO,28,5006.2
IO,18,5010.9
IO,40,5006.13
IO,46,5005.8
IO,30,5012.57
IO,12,5014.97
IO,0,5017
IO,16,5015.65
IO,8,5016.73
IO,14,5016.1
IO,4,5017.37
IO,22,5016.08
IO,20,5016.82
IO,24,5016.45
IO,44,5010.75
