tipo,indice,valor
CPU,29,0.65
CPU,19,0.63335
CPU,31,0.63335
CPU,27,0.65
CPU,23,0.633325
CPU,33,0.63335
CPU,25,0.633325
CPU,35,0.65
CPU,17,0.63335
CPU,21,0.633325
CPU,37,0.63335
CPU,39,0.63335
CPU,15,0.63335
CPU,41,0.65
CPU,13,0.616675
CPU,43,0.63335
CPU,11,0.633325
CPU,45,0.63335
CPU,9,0.633325
CPU,7,0.633325
CPU,47,0.63335
CPU,5,0.63335
CPU,49,0.65
CPU,3,0.9
CPU,1,0.96665
CPU,51,0.65
CPU,53,0.65
CPU,55,0.65
CPU,57,0.633325
CPU,59,0.633325
CPU,61,0.633325
CPU,63,0.633325
CPU,65,0.633325
CPU,67,0.65
CPU,69,0.65
CPU,71,0.65
CPU,73,0.633325
CPU,75,0.633325
CPU,77,0.633325
CPU,79,0.65
CPU,81,0.633325
CPU,83,0.65
CPU,85,0.633325
CPU,87,0.65
CPU,89,0.65
CPU,91,0.65
CPU,93,0.65
CPU,95,0.65
CPU,97,0.65
CPU,99,0.666675
IO,0,8941.65
IO,20,8935.55
IO,22,8934.93
IO,18,8936.22
IO,26,8933.72
IO,24,8934.37
IO,28,8932.88
IO,30,8932.18
IO,34,8930.95
IO,32,8931.63
IO,36,8930.35
IO,38,8929.75
IO,42,8928.38
IO,44,8927.77
IO,14,8937.68
IO,10,8939.12
IO,40,8929.15
IO,12,8938.48
IO,46,8927.17
IO,16,8937.2
IO,6,8940.2
IO,8,8939.82
IO,52,8925.3
IO,4,8940.88
IO,2,8942.08
IO,50,8925.95
IO,48,8926.6
IO,56,8924.08
IO,58,8923.4
IO,54,8924.77
IO,62,8922.12
IO,60,8922.83
IO,64,8921.5
IO,66,8920.87
IO,68,8920.2
IO,70,8919.58
IO,72,8918.95
IO,74,8918.37
IO,78,8917.07
IO,76,8917.68
IO,82,8915.78
IO,80,8916.45
IO,86,8914.48
IO,84,8915.08
IO,90,8913.2
IO,88,8913.85
IO,92,8912.53
IO,94,8911.85
IO,96,8911.2
IO,98,8910.53
