tipo,indice,valor
CPU,1,10.3667
CPU,3,10.3333
CPU,5,10.3
CPU,7,10.2667
CPU,9,10.25
CPU,11,10.2
CPU,13,10.1667
CPU,15,10.1333
CPU,17,10.1
CPU,19,10.0833
CPU,23,8.35
CPU,25,8.33333
CPU,27,8.31665
CPU,37,8.21665
CPU,39,8.16667
CPU,33,8.28332
CPU,35,8.26667
CPU,21,15.25
CPU,29,12.2834
CPU,31,12.0667
CPU,41,10.9334
CPU,43,10.7166
CPU,45,10.6167
CPU,47,10.6167
CPU,49,10.4
CPU,65,7.1
CPU,51,15.05
CPU,53,11.7834
CPU,55,11.5334
CPU,57,11.3
CPU,59,11.1167
CPU,61,10.9167
CPU,63,10.7
CPU,69,8.13335
CPU,71,8.06668
CPU,85,7.81668
CPU,67,15.2333
CPU,73,12.2167
CPU,75,11.9833
CPU,77,11.7333
CPU,79,11.5
CPU,81,11.2667
CPU,83,11.05
CPU,87,10.55
CPU,93,6.51668
CPU,89,15.1834
CPU,91,11.0167
CPU,95,10.55
CPU,107,7
CPU,97,10.5167
CPU,103,7.13335
CPU,99,11.8166
CPU,101,11.5833
CPU,105,11.05
CPU,109,10.5334
CPU,119,7.75
CPU,117,7.86667
CPU,121,7.66667
CPU,111,15.2167
CPU,113,12.6167
CPU,115,12.35
CPU,123,11.1833
CPU,125,10.9
CPU,127,10.6167
CPU,135,6.96668
CPU,129,15.2833
CPU,131,11.6166
CPU,133,11.4
CPU,137,10.8667
CPU,139,10.6166
CPU,151,7.06668
CPU,149,7.16665
CPU,141,15.4
CPU,143,12.0334
CPU,145,11.7833
CPU,147,11.5167
CPU,153,10.7
CPU,157,7.85
CPU,161,7.68332
CPU,163,7.61667
CPU,155,15.35
CPU,159,12.0334
CPU,165,11.2167
CPU,167,10.95
CPU,169,10.6667
CPU,175,7.25
CPU,173,7.31665
CPU,183,6.95
CPU,171,15.2
CPU,177,11.2
CPU,179,10.95
CPU,181,10.7
CPU,187,7.05
CPU,189,6.98332
CPU,193,6.78332
CPU,185,15.0833
CPU,191,11.05
CPU,195,10.45
CPU,197,10.3667
CPU,199,12.1
IO,8,2018.95
IO,26,2015.33
IO,98,1991.47
IO,138,1981.5
IO,72,2003.13
IO,126,1987.47
IO,76,2003.67
IO,48,2013.08
IO,104,1993.92
IO,116,1990.17
IO,40,2019.08
IO,42,2018.85
IO,90,1999.28
IO,136,1984.12
IO,18,2024.03
IO,198,1961.17
IO,64,2009.52
IO,102,1995.47
IO,54,2011.18
IO,142,1981.68
IO,66,2010.07
IO,110,1995.13
IO,6,2026.67
IO,22,2022.82
IO,78,2006.43
IO,2,2027.17
IO,152,1980.72
IO,24,2022.87
IO,92,2001.12
IO,50,2015.63
IO,118,1992.28
IO,178,1971.55
IO,140,1986.05
IO,120,1992.23
IO,52,2012.67
IO,68,2008.63
IO,122,1992.2
IO,154,1981.35
IO,36,2022.38
IO,62,2011.77
IO,46,2021.37
IO,146,1982.58
IO,58,2012.47
IO,34,2022.97
IO,144,1983.13
IO,10,2027.88
IO,56,2013.05
IO,158,1978.65
IO,108,1997.2
IO,30,2023.68
IO,130,1988.62
IO,88,2007.43
IO,156,1979.68
IO,180,1973.2
IO,44,2022.87
IO,4,2029.45
IO,148,1983.75
IO,0,2030.07
IO,12,2028.83
IO,70,2010.18
IO,100,1999.35
IO,164,1978.95
IO,166,1978.72
IO,16,2028.65
IO,80,2009.27
IO,94,2003.68
IO,190,1969.23
IO,176,1974.45
IO,96,2003.48
IO,60,2014.08
IO,196,1968.48
IO,128,1993.63
IO,74,2010.28
IO,28,2025.6
IO,170,1978.72
IO,82,2009.42
IO,84,2009.22
IO,14,2029.42
IO,184,1973.78
IO,86,2009.15
IO,174,1975.28
IO,188,1970.15
IO,38,2024.92
IO,20,2029.08
IO,132,1990.27
IO,182,1974.32
IO,150,1984.75
IO,124,1994.85
IO,162,1980.4
IO,134,1990.12
IO,192,1969.83
IO,160,1980.77
IO,112,1996.7
IO,168,1979.68
IO,114,1996.48
IO,32,2026.02
IO,194,1969.78
IO,106,2000.08
IO,172,1976.15
IO,186,1970.98
