tipo,indice,valor
CPU,1,0.616675
CPU,3,0.633325
CPU,5,0.63335
CPU,7,0.61665
CPU,9,0.633325
CPU,11,0.63335
CPU,13,0.633325
CPU,15,0.633325
CPU,17,0.616675
CPU,19,0.633325
CPU,21,0.633325
CPU,23,0.63335
CPU,25,0.63335
CPU,27,0.633325
CPU,29,0.65
CPU,31,0.633325
CPU,33,0.63335
CPU,35,0.63335
CPU,37,0.633325
CPU,39,0.65
CPU,41,0.633325
CPU,43,0.65
CPU,45,0.63335
CPU,47,0.65
CPU,49,0.633325
CPU,51,0.633325
CPU,53,0.633325
CPU,55,0.65
CPU,57,0.633325
CPU,59,0.633325
CPU,61,0.633325
CPU,63,0.65
CPU,65,0.65
CPU,67,0.65
CPU,69,0.65
CPU,71,0.633325
CPU,73,0.633325
CPU,75,0.65
CPU,77,0.65
CPU,79,0.633325
CPU,81,0.65
CPU,83,0.65
CPU,85,0.65
CPU,87,0.65
CPU,89,0.666675
CPU,91,0.65
CPU,93,0.65
CPU,95,0.65
CPU,97,0.65
CPU,99,0.65
IO,0,8931.62
IO,4,8930.52
IO,2,8931.18
IO,6,8929.95
IO,8,8929.28
IO,12,8928.23
IO,10,8928.7
IO,14,8927.52
IO,16,8927.05
IO,18,8926.28
IO,22,8925.2
IO,20,8925.67
IO,24,8924.5
IO,26,8924.03
IO,28,8923.43
IO,30,8922.82
IO,32,8922.2
IO,34,8921.4
IO,36,8920.93
IO,40,8919.58
IO,38,8920.33
IO,42,8919.08
IO,46,8917.83
IO,44,8918.32
IO,48,8917.23
IO,50,8916.6
IO,52,8915.97
IO,54,8915.37
IO,58,8913.88
IO,56,8914.62
IO,60,8913.33
IO,62,8912.63
IO,64,8912.05
IO,68,8910.87
IO,66,8911.53
IO,70,8910.05
IO,72,8909.57
IO,74,8908.93
IO,76,8908.17
IO,78,8907.65
IO,80,8906.82
IO,84,8905.7
IO,82,8906.35
IO,88,8904.38
IO,92,8902.88
IO,86,8905.05
IO,90,8903.75
IO,94,8902.42
IO,96,8901.75
IO,98,8901.1
