tipo,indice,valor
CPU,3,9.93335
CPU,5,9.9
CPU,7,9.88332
CPU,9,9.83335
CPU,35,9.65
CPU,1,9.96665
CPU,11,9.81668
CPU,13,9.81665
CPU,23,9.73333
CPU,25,9.71665
CPU,29,9.7
CPU,41,9.56665
CPU,15,13.25
CPU,17,13.0333
CPU,19,12.8333
CPU,21,12.6167
CPU,27,11.9667
CPU,31,11.55
CPU,33,11.3333
CPU,37,10.9
CPU,39,10.7
CPU,47,6.11667
CPU,49,6.06668
CPU,43,10.45
CPU,45,10.7166
IO,8,4282.08
IO,26,4946.25
IO,24,4949.27
IO,46,4952.07
IO,14,4961.62
IO,42,4961.15
IO,10,4970.65
IO,18,4970
IO,6,4985.47
IO,48,4979.07
IO,38,4992.63
IO,36,4992.92
IO,0,4998.17
IO,4,4998.03
IO,22,4997.45
IO,44,4991.32
IO,30,4999.7
IO,20,5000.85
IO,40,4998.7
IO,34,4999.67
IO,2,5003.2
IO,32,5000.17
IO,16,5002.43
IO,12,5003.18
IO,28,5001.82
