tipo,indice,valor
IO,34,1603.95
IO,156,1611.58
IO,2,1632.67
IO,120,1588
IO,8,1665.67
IO,94,1668.75
IO,188,1694.53
IO,86,1703.85
IO,178,1713.47
IO,56,1722.9
IO,58,1745.27
IO,44,1749.17
IO,144,1744.88
IO,102,1755.88
IO,154,1762.57
IO,92,1769.53
IO,82,1785.32
IO,126,1785.15
IO,42,1792.05
IO,176,1787.4
IO,104,1800.95
IO,116,1804.03
IO,166,1800.68
IO,164,1809.48
IO,80,1812.7
IO,132,1811.13
IO,158,1810.25
IO,36,1818.62
IO,32,1832.05
IO,142,1839.87
IO,50,1851.77
IO,72,1853.2
IO,162,1849.82
IO,74,1854.32
IO,4,1859.33
IO,138,1856.52
IO,180,1854.9
IO,170,1859.52
IO,18,1870.52
IO,16,1870.85
IO,146,1870.33
IO,62,1876.38
IO,130,1891.57
IO,66,1903.05
IO,128,1913.12
IO,12,1918.77
IO,70,1918.82
IO,28,1926.65
IO,194,1926.53
IO,10,1943.33
IO,148,1942.22
IO,24,1947.62
IO,98,1949.38
IO,136,1902.93
IO,20,1958.45
IO,68,1957.28
IO,174,1958.1
IO,60,1969.38
IO,96,1967.67
IO,22,1969.53
IO,48,1968.07
IO,52,1980
IO,6,1984.67
IO,54,1984.82
IO,64,1988.32
IO,90,1988.55
IO,108,1987.65
IO,106,1994.63
IO,78,1998.58
IO,14,2002.53
IO,46,2002.6
IO,134,2000.38
IO,190,2001.28
IO,124,2003.65
IO,112,2016.87
IO,186,2014.67
IO,30,2020.72
IO,118,2020.52
IO,114,2022.32
IO,140,2021.72
IO,84,2028.73
IO,122,2033.47
IO,26,2037.65
IO,152,2038.3
IO,38,2043.78
IO,150,2043.32
IO,172,2045.23
IO,88,2047.18
IO,196,2053.98
IO,168,2076.62
IO,40,1725.72
IO,198,2082.97
IO,160,2098.53
IO,0,2118.18
IO,192,2132.85
IO,76,1559.2
IO,182,2143.05
IO,184,2150.45
IO,110,2175.2
IO,100,1667.55
CPU,193,0.616675
CPU,135,3.6
CPU,141,0.6
CPU,41,0.6
CPU,13,1.28333
CPU,31,3.03335
CPU,87,4.81668
CPU,69,3.01668
CPU,111,3.01668
CPU,61,0.6
CPU,149,0.61665
CPU,63,6.01668
CPU,127,1.81665
CPU,21,3.63335
CPU,51,1.8
CPU,79,3.61667
CPU,93,1.88332
CPU,35,4.2
CPU,143,0.6
CPU,151,0.6
CPU,83,5.95
CPU,115,0.616675
CPU,85,0.616675
CPU,77,1.83333
CPU,97,3.01668
CPU,17,0.6
CPU,177,2.4
CPU,181,3
CPU,23,2.4
CPU,113,3
CPU,171,0.6
CPU,163,0.616675
CPU,29,0.6
CPU,105,4.21668
CPU,27,1.8
CPU,109,3.01668
CPU,45,0.6
CPU,89,0.666675
CPU,59,1.2
CPU,183,1.8
CPU,71,0.616675
CPU,101,0.6
CPU,3,0.6
CPU,125,0.6
CPU,39,1.2
CPU,155,1.2
CPU,117,0.6
CPU,191,0.61665
CPU,15,1.28333
CPU,195,0.616675
CPU,5,0.6
CPU,185,0.6
CPU,57,0.6
CPU,99,1.33333
CPU,173,0.633325
CPU,129,0.6
CPU,159,0.6
CPU,25,1.2
CPU,53,1.2
CPU,165,0.6
CPU,153,0.6
CPU,119,2.41665
CPU,145,0.6
CPU,157,0.6
CPU,175,1.2
CPU,65,1.2
CPU,169,0.6
CPU,1,0.6
CPU,137,0.583325
CPU,73,1.21667
CPU,37,2.41668
CPU,103,1.2
CPU,91,2.55
CPU,123,0.58335
CPU,55,3.6
CPU,187,0.6
CPU,131,1.2
CPU,199,0.61665
CPU,11,0.6
CPU,161,1.21667
CPU,19,0.6
CPU,43,0.6
CPU,179,0.6
CPU,139,0.6
CPU,9,0.6
CPU,121,1.78335
CPU,67,1.2
CPU,47,0.6
CPU,75,0.6
CPU,167,0.6
CPU,33,1.8
CPU,197,0.633325
CPU,147,0.6
CPU,7,0.6
CPU,81,5.95
CPU,133,1.8
CPU,95,3.21665
CPU,189,0.6
CPU,49,3
CPU,107,3.01668
