tipo,indice,valor
CPU,1,0.633325
CPU,3,0.616675
CPU,5,0.633325
CPU,7,0.616675
CPU,9,0.61665
CPU,11,0.633325
CPU,13,0.65
CPU,15,0.63335
CPU,17,0.65
CPU,19,0.633325
CPU,21,0.633325
CPU,23,0.633325
CPU,25,0.616675
CPU,27,0.65
CPU,29,0.616675
CPU,31,0.616675
CPU,33,0.633325
CPU,35,0.65
CPU,37,0.633325
CPU,39,0.633325
CPU,41,0.633325
CPU,43,0.633325
CPU,45,0.65
CPU,47,0.65
CPU,49,0.633325
IO,0,4033.78
IO,2,4033.22
IO,4,4032.62
IO,6,4032.02
IO,10,4030.92
IO,8,4031.4
IO,12,4030.12
IO,14,4029.7
IO,16,4029.07
IO,20,4027.78
IO,18,4028.43
IO,26,4025.92
IO,24,4026.53
IO,22,4027
IO,30,4024.67
IO,34,4023.2
IO,28,4025.2
IO,32,4024.03
IO,36,4022.77
IO,38,4021.92
IO,40,4021.38
IO,42,4020.73
IO,46,4019.33
IO,44,4020.08
IO,48,4018.9
