tipo,indice,valor
CPU,11,1.21667
CPU,27,1.81668
CPU,49,0.616675
CPU,25,2.5
CPU,17,0.61665
IO,28,3859.22
IO,36,4065.67
IO,40,4111.72
IO,14,4162.47
IO,12,4175.92
IO,4,4260.33
IO,6,4318.58
IO,34,4336.32
IO,16,4347.17
IO,10,4385.35
IO,46,4437.67
IO,24,4546.87
IO,0,4572.32
IO,42,4610.45
IO,30,4635.68
IO,22,4646.68
IO,8,4657.65
IO,18,4681.67
IO,32,4704.82
IO,38,4732.57
IO,44,4773.32
IO,26,4838.67
IO,48,5003.57
IO,20,5147.28
IO,2,5314.45
CPU,33,3.16668
CPU,13,3.63335
CPU,43,0.61665
CPU,23,0.63335
CPU,5,1.21667
CPU,29,0.6
CPU,1,0.6
CPU,15,1.81668
CPU,21,0.583325
CPU,47,1.21667
CPU,7,1.2
CPU,35,2.53333
CPU,31,1.86668
CPU,37,1.81668
CPU,19,0.6
CPU,9,3.01668
CPU,41,0.6
CPU,45,0.6
CPU,3,0.6
CPU,39,4.35
